Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole
44,0.0,Non-Travel,Research & Development,5,Bachelor Degree,Life Sciences,3,2,Laboratory Technician,3,Single,3162,3,No,14,4,0,5,3,2
50,0.0,Travel_Rarely,Research & Development,7,College,Medical,2,2,Research Director,3,Divorced,18740,5,Yes,12,4,1,2,2,3
32,0.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Life Sciences,2,3,Research Scientist,2,Married,6220,1,No,17,2,2,3,3,4
44,0.0,Travel_Rarely,Research & Development,4,College,Life Sciences,3,4,Manager,1,Divorced,19190,1,No,14,4,2,4,2,9
53,0.0,Travel_Rarely,Sales,2,Master,Life Sciences,1,2,Manager,4,Married,15427,2,No,16,3,0,3,3,8
55,0.0,Travel_Rarely,Sales,18,Doctor,Life Sciences,1,3,Manager,2,Single,16835,3,No,23,4,0,2,3,9
38,0.0,Non-Travel,Sales,10,Bachelor Degree,Technical Degree,3,3,Sales Executive,4,Single,5666,1,Yes,13,2,0,1,3,3
34,1.0,Travel_Rarely,Human Resources,9,Master,Technical Degree,1,3,Human Resources,3,Married,2742,1,No,15,4,0,0,3,2
36,0.0,Travel_Rarely,Research & Development,12,Doctor,Medical,4,2,Manufacturing Director,4,Single,8858,0,No,11,2,0,2,2,8
57,0.0,Travel_Rarely,Research & Development,24,College,Life Sciences,3,4,Healthcare Representative,4,Divorced,9439,3,Yes,16,2,1,2,1,3
36,0.0,Travel_Rarely,Research & Development,4,Master,Life Sciences,1,2,Laboratory Technician,4,Single,5810,1,No,16,3,0,2,2,4
28,1.0,Travel_Rarely,Research & Development,2,Master,Life Sciences,1,3,Laboratory Technician,3,Single,3485,2,No,11,3,0,5,1,0
35,0.0,Travel_Rarely,Research & Development,25,College,Other,1,2,Laboratory Technician,4,Single,3681,4,No,14,4,0,3,3,2
27,0.0,Travel_Frequently,Sales,3,Below College,Medical,4,4,Sales Executive,4,Divorced,4647,1,Yes,20,2,2,3,3,5
37,1.0,Travel_Rarely,Human Resources,6,Master,Human Resources,3,3,Human Resources,1,Divorced,2073,4,Yes,22,4,0,3,3,2
50,1.0,Travel_Rarely,Sales,3,College,Marketing,1,2,Sales Representative,3,Married,2683,1,Yes,14,3,0,2,3,2
45,0.0,Non-Travel,Research & Development,2,College,Medical,1,2,Manager,4,Married,16792,9,No,23,4,1,1,3,8
27,0.0,Travel_Frequently,Sales,8,Below College,Marketing,3,3,Sales Executive,4,Married,4342,0,No,19,2,1,3,3,2
41,0.0,Travel_Rarely,Sales,2,Doctor,Life Sciences,2,3,Manager,1,Married,16595,7,No,16,2,1,2,3,16
30,0.0,Non-Travel,Research & Development,2,Bachelor Degree,Medical,3,3,Laboratory Technician,4,Single,2564,0,No,14,3,0,2,2,7
32,0.0,Non-Travel,Sales,2,Below College,Life Sciences,3,3,Sales Representative,1,Divorced,2827,1,No,12,3,3,3,3,0
55,0.0,Travel_Rarely,Research & Development,14,Master,Medical,3,4,Research Director,2,Single,18722,8,No,11,4,0,3,3,15
32,1.0,Travel_Rarely,Research & Development,7,College,Life Sciences,4,3,Laboratory Technician,3,Married,4883,1,No,18,1,1,3,3,4
54,0.0,Travel_Frequently,Research & Development,1,Master,Life Sciences,4,3,Manufacturing Director,3,Divorced,10502,7,No,17,1,1,2,1,4
44,1.0,Travel_Rarely,Research & Development,10,Master,Life Sciences,3,3,Research Scientist,3,Single,2936,1,Yes,11,3,0,4,3,4
32,0.0,Travel_Rarely,Research & Development,9,Master,Life Sciences,1,3,Research Scientist,4,Married,6322,1,Yes,12,4,1,2,2,4
33,0.0,Non-Travel,Sales,8,Below College,Life Sciences,2,2,Sales Representative,4,Single,2342,0,No,19,4,0,2,2,2
27,0.0,Non-Travel,Research & Development,9,Bachelor Degree,Medical,4,3,Research Scientist,2,Divorced,2024,6,No,18,4,1,1,1,2
33,0.0,Travel_Rarely,Research & Development,1,Master,Other,3,2,Research Scientist,1,Single,2799,3,Yes,11,2,0,1,3,2
47,1.0,Non-Travel,Research & Development,29,Master,Life Sciences,1,3,Manager,2,Married,11849,1,Yes,12,4,1,2,2,7
19,1.0,Non-Travel,Research & Development,10,Bachelor Degree,Medical,1,2,Research Scientist,2,Single,1859,1,Yes,25,2,0,2,4,1
37,0.0,Non-Travel,Research & Development,2,College,Life Sciences,3,2,Healthcare Representative,4,Divorced,5163,5,No,14,4,1,2,4,0
56,0.0,Travel_Rarely,Research & Development,23,Bachelor Degree,Life Sciences,4,3,Manufacturing Director,2,Married,13402,4,Yes,12,1,1,0,3,16
29,0.0,Travel_Rarely,Research & Development,15,College,Life Sciences,4,2,Laboratory Technician,3,Single,4193,0,Yes,12,4,0,3,3,5
38,0.0,Travel_Rarely,Research & Development,25,College,Life Sciences,1,2,Research Director,2,Married,12061,3,No,17,3,1,2,3,8
42,0.0,Travel_Rarely,Research & Development,2,Master,Other,1,2,Healthcare Representative,4,Single,6781,3,No,23,2,0,6,3,0
54,0.0,Travel_Rarely,Research & Development,17,Bachelor Degree,Technical Degree,3,3,Manufacturing Director,3,Married,10739,8,No,11,3,1,2,3,7
29,0.0,Travel_Rarely,Research & Development,2,Bachelor Degree,Life Sciences,3,3,Research Scientist,2,Married,2703,0,No,23,4,1,3,3,4
26,0.0,Travel_Frequently,Sales,1,Bachelor Degree,Medical,3,2,Sales Executive,1,Single,4294,1,No,12,2,0,2,3,7
37,0.0,Non-Travel,Sales,19,College,Medical,1,3,Sales Executive,2,Single,7642,1,Yes,13,4,0,2,3,0
31,0.0,Travel_Rarely,Research & Development,7,Master,Life Sciences,4,3,Laboratory Technician,4,Divorced,5915,3,No,22,4,1,3,2,7
45,1.0,Travel_Frequently,Sales,26,Master,Life Sciences,1,3,Sales Executive,1,Married,4286,2,No,14,4,2,4,3,1
43,0.0,Travel_Rarely,Research & Development,14,College,Life Sciences,2,3,Research Director,1,Married,17159,6,No,24,3,1,3,3,1
29,0.0,Travel_Rarely,Research & Development,3,Master,Medical,2,2,Research Director,3,Married,11935,1,No,18,3,0,2,3,2
30,0.0,Travel_Rarely,Sales,8,College,Other,3,3,Sales Executive,3,Divorced,7264,5,No,11,1,1,2,4,4
40,0.0,Travel_Frequently,Research & Development,1,Master,Life Sciences,3,2,Healthcare Representative,2,Married,13503,1,No,22,4,1,3,2,3
56,0.0,Travel_Frequently,Sales,6,Bachelor Degree,Life Sciences,3,4,Sales Executive,1,Married,13212,9,No,11,4,3,0,2,7
25,0.0,Travel_Rarely,Sales,18,Below College,Life Sciences,1,4,Sales Executive,3,Married,6232,2,No,11,2,0,3,2,2
42,0.0,Non-Travel,Human Resources,2,Doctor,Medical,4,4,Human Resources,1,Married,6272,7,No,16,1,1,3,4,3
32,0.0,Travel_Frequently,Sales,8,Bachelor Degree,Marketing,2,3,Sales Executive,4,Single,8998,1,No,14,4,0,2,3,8
32,0.0,Travel_Frequently,Research & Development,24,Master,Life Sciences,1,3,Laboratory Technician,4,Married,5309,1,No,15,4,2,2,3,8
55,0.0,Travel_Rarely,Research & Development,20,College,Technical Degree,2,3,Laboratory Technician,4,Married,5415,3,Yes,19,4,1,4,3,7
27,0.0,Non-Travel,Research & Development,8,Doctor,Life Sciences,1,1,Laboratory Technician,3,Married,4621,1,No,19,4,3,4,3,2
38,0.0,Travel_Frequently,Research & Development,3,Master,Other,3,3,Research Scientist,3,Married,2821,3,No,16,1,1,2,3,2
37,0.0,Travel_Frequently,Sales,21,College,Medical,3,3,Sales Representative,4,Married,2973,5,No,15,2,1,3,3,4
26,0.0,Travel_Frequently,Research & Development,11,College,Medical,1,3,Healthcare Representative,1,Married,4741,1,Yes,13,3,1,3,3,3
45,0.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Other,3,4,Manager,4,Married,19202,0,No,11,3,1,2,3,0
26,0.0,Travel_Rarely,Sales,23,Bachelor Degree,Marketing,3,2,Sales Executive,4,Married,4157,7,Yes,19,3,1,2,2,2
41,0.0,Travel_Rarely,Sales,9,Below College,Life Sciences,3,3,Sales Executive,3,Divorced,8189,3,Yes,13,3,1,2,3,7
19,0.0,Travel_Rarely,Research & Development,9,College,Life Sciences,3,3,Research Scientist,1,Single,2552,1,No,25,3,0,4,3,1
40,0.0,Travel_Rarely,Sales,4,Master,Marketing,3,2,Sales Executive,4,Married,10855,7,No,11,1,1,2,2,11
43,0.0,Travel_Frequently,Research & Development,10,Master,Life Sciences,3,2,Laboratory Technician,3,Divorced,5257,1,No,11,2,1,3,4,7
35,0.0,Non-Travel,Research & Development,3,Bachelor Degree,Life Sciences,3,2,Laboratory Technician,3,Married,1281,1,No,18,3,2,3,3,0
52,0.0,Travel_Rarely,Sales,3,Master,Marketing,3,2,Manager,1,Married,16856,1,No,11,1,0,3,4,6
49,0.0,Travel_Rarely,Research & Development,20,Master,Medical,3,3,Manufacturing Director,1,Married,6567,1,No,14,3,0,2,2,11
37,0.0,Non-Travel,Research & Development,5,College,Technical Degree,3,4,Laboratory Technician,3,Single,3500,0,No,14,1,0,2,1,5
43,0.0,Travel_Frequently,Research & Development,21,Bachelor Degree,Medical,4,3,Laboratory Technician,4,Married,2258,7,No,20,1,1,1,3,2
23,0.0,Travel_Rarely,Sales,2,Below College,Technical Degree,3,3,Sales Representative,1,Divorced,2322,3,No,13,3,1,3,3,0
55,0.0,Travel_Rarely,Research & Development,8,Bachelor Degree,Medical,4,3,Manager,3,Divorced,14756,2,Yes,14,3,3,2,3,0
53,0.0,Travel_Rarely,Research & Development,23,Master,Life Sciences,4,3,Research Director,4,Single,14275,6,No,18,3,0,0,3,9
34,0.0,Travel_Frequently,Research & Development,1,Bachelor Degree,Medical,4,2,Healthcare Representative,1,Single,5343,0,No,20,3,0,3,3,9
58,1.0,Travel_Rarely,Research & Development,2,Bachelor Degree,Technical Degree,4,3,Research Scientist,3,Single,2479,4,No,24,1,0,4,3,0
34,0.0,Travel_Frequently,Research & Development,3,Below College,Life Sciences,1,3,Healthcare Representative,4,Single,7756,0,No,17,3,0,1,2,2
30,0.0,Non-Travel,Research & Development,1,Below College,Life Sciences,3,2,Manufacturing Director,3,Single,8474,1,No,22,3,0,2,3,8
32,0.0,Travel_Rarely,Research & Development,6,Doctor,Life Sciences,3,3,Research Scientist,3,Single,3038,3,No,20,1,0,2,3,4
36,0.0,Travel_Rarely,Research & Development,5,College,Life Sciences,4,3,Laboratory Technician,2,Single,5914,8,No,16,4,0,3,4,11
40,0.0,Travel_Frequently,Sales,2,Master,Medical,2,3,Sales Executive,2,Married,4327,5,No,12,4,3,2,3,0
36,0.0,Non-Travel,Research & Development,24,Master,Life Sciences,2,3,Laboratory Technician,2,Married,5674,7,No,15,3,1,3,3,8
21,0.0,Travel_Rarely,Research & Development,15,College,Life Sciences,3,3,Research Scientist,4,Single,1232,1,No,14,4,0,6,3,0
34,0.0,Travel_Rarely,Sales,14,Bachelor Degree,Technical Degree,3,3,Sales Representative,3,Divorced,2579,1,Yes,18,4,2,3,3,2
34,0.0,Travel_Rarely,Research & Development,6,Master,Other,1,3,Research Scientist,3,Single,4809,1,No,14,3,0,3,3,13
39,0.0,Travel_Rarely,Human Resources,2,Bachelor Degree,Life Sciences,4,2,Human Resources,4,Married,5204,8,No,11,3,2,2,3,4
45,0.0,Travel_Rarely,Research & Development,8,Master,Other,4,3,Research Scientist,4,Married,3697,9,No,14,1,2,3,3,9
31,1.0,Travel_Frequently,Research & Development,29,College,Medical,3,2,Laboratory Technician,2,Single,3479,0,No,11,2,0,2,4,4
38,0.0,Travel_Rarely,Sales,3,Master,Life Sciences,2,3,Sales Executive,4,Single,6861,8,Yes,12,3,0,1,3,0
31,0.0,Travel_Frequently,Research & Development,3,Master,Medical,2,3,Research Director,3,Divorced,13675,9,No,12,1,1,3,3,2
26,0.0,Travel_Rarely,Research & Development,6,Bachelor Degree,Life Sciences,3,3,Laboratory Technician,4,Married,2659,1,Yes,13,3,1,2,3,2
30,0.0,Travel_Rarely,Research & Development,6,Bachelor Degree,Technical Degree,1,2,Laboratory Technician,4,Married,4627,0,No,12,1,1,6,3,2
34,0.0,Travel_Rarely,Research & Development,9,Bachelor Degree,Life Sciences,4,3,Healthcare Representative,4,Divorced,8500,0,No,11,4,1,0,2,7
35,0.0,Travel_Rarely,Research & Development,6,Below College,Life Sciences,3,3,Research Scientist,3,Married,3506,0,Yes,14,4,0,3,3,2
27,0.0,Travel_Rarely,Research & Development,2,Master,Life Sciences,4,3,Laboratory Technician,1,Divorced,2341,1,No,13,4,1,6,3,0
31,0.0,Travel_Rarely,Research & Development,5,Master,Technical Degree,3,3,Research Scientist,4,Married,4821,0,Yes,12,3,1,4,3,2
39,0.0,Travel_Frequently,Research & Development,8,Below College,Life Sciences,3,3,Laboratory Technician,3,Married,3755,1,No,11,1,1,3,3,3
29,0.0,Travel_Rarely,Research & Development,23,College,Life Sciences,3,4,Research Scientist,3,Married,2700,1,No,24,3,1,3,3,7
29,1.0,Travel_Rarely,Sales,27,Bachelor Degree,Marketing,2,3,Sales Executive,4,Married,7639,1,No,22,4,3,3,2,4
44,1.0,Travel_Rarely,Research & Development,3,Bachelor Degree,Life Sciences,1,3,Laboratory Technician,1,Married,2362,4,No,12,3,0,4,4,2
26,0.0,Travel_Rarely,Research & Development,6,Bachelor Degree,Other,3,2,Research Scientist,2,Married,2368,1,No,19,3,0,3,2,4
48,0.0,Travel_Rarely,Sales,2,Doctor,Marketing,2,3,Sales Executive,4,Married,4051,2,No,14,1,1,2,3,7
38,0.0,Travel_Rarely,Research & Development,3,Doctor,Technical Degree,4,3,Research Scientist,3,Single,4317,3,Yes,20,2,0,2,3,2
23,1.0,Travel_Rarely,Research & Development,6,Bachelor Degree,Life Sciences,3,4,Laboratory Technician,1,Married,1601,1,Yes,21,3,2,2,3,0
50,0.0,Travel_Rarely,Research & Development,24,Bachelor Degree,Life Sciences,4,3,Manufacturing Director,3,Married,13973,3,Yes,18,4,1,2,3,11
37,0.0,Travel_Rarely,Sales,3,Bachelor Degree,Life Sciences,3,3,Sales Executive,4,Single,7428,2,No,12,1,0,3,3,3
31,0.0,Travel_Rarely,Human Resources,8,College,Medical,4,4,Human Resources,2,Single,2109,9,No,18,4,0,3,3,2
49,1.0,Travel_Rarely,Sales,11,Bachelor Degree,Marketing,3,3,Sales Executive,4,Married,7654,1,No,18,1,2,3,4,8
34,0.0,Travel_Frequently,Research & Development,19,Bachelor Degree,Medical,3,3,Laboratory Technician,2,Divorced,4444,4,No,13,3,2,2,4,8
41,1.0,Travel_Rarely,Sales,1,College,Life Sciences,2,3,Sales Executive,4,Single,5993,8,Yes,11,1,0,0,1,4
34,0.0,Travel_Rarely,Research & Development,8,College,Medical,2,3,Healthcare Representative,3,Single,6142,3,No,11,4,0,2,3,1
39,0.0,Travel_Frequently,Research & Development,2,Master,Technical Degree,3,3,Healthcare Representative,3,Single,10938,0,No,25,4,0,1,3,6
32,1.0,Travel_Frequently,Research & Development,16,Below College,Life Sciences,2,1,Research Scientist,1,Single,3919,1,Yes,22,2,0,5,3,2
37,0.0,Travel_Frequently,Research & Development,9,Bachelor Degree,Medical,2,3,Research Scientist,4,Married,2326,1,Yes,12,3,3,3,2,2
30,1.0,Travel_Rarely,Research & Development,22,Bachelor Degree,Life Sciences,1,3,Research Scientist,3,Married,2132,4,Yes,11,2,0,2,3,2
55,0.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Medical,4,3,Manager,1,Single,19045,0,Yes,14,3,0,2,3,10
37,0.0,Travel_Rarely,Research & Development,10,College,Life Sciences,4,4,Research Scientist,4,Single,4680,3,No,17,1,0,2,3,0
35,0.0,Travel_Rarely,Sales,1,Bachelor Degree,Marketing,2,3,Sales Executive,3,Married,4717,9,No,11,3,0,2,3,9
46,0.0,Travel_Frequently,Research & Development,1,Bachelor Degree,Medical,3,2,Healthcare Representative,1,Married,10673,2,Yes,13,3,1,5,2,9
36,0.0,Travel_Rarely,Research & Development,3,College,Life Sciences,1,3,Laboratory Technician,4,Divorced,2835,5,No,22,1,1,2,3,0
24,0.0,Non-Travel,Research & Development,4,Below College,Life Sciences,1,2,Laboratory Technician,4,Married,3162,0,No,17,4,0,2,2,2
50,0.0,Travel_Rarely,Research & Development,2,Master,Medical,2,3,Research Director,3,Married,19237,2,Yes,11,4,1,2,2,1
32,0.0,Non-Travel,Research & Development,1,Bachelor Degree,Life Sciences,3,2,Laboratory Technician,2,Married,2332,6,No,20,3,0,3,3,0
34,0.0,Travel_Rarely,Research & Development,2,Master,Medical,3,2,Research Scientist,1,Single,4381,1,No,11,3,0,3,3,5
26,0.0,Travel_Rarely,Research & Development,7,Bachelor Degree,Other,3,4,Laboratory Technician,1,Single,3578,0,No,12,4,0,2,3,7
33,0.0,Travel_Frequently,Sales,1,Bachelor Degree,Life Sciences,3,4,Sales Executive,1,Married,5376,2,No,19,1,2,3,3,3
38,0.0,Travel_Frequently,Research & Development,10,Below College,Medical,3,3,Research Scientist,3,Married,2684,0,No,17,2,1,0,2,1
37,0.0,Travel_Rarely,Research & Development,11,Bachelor Degree,Medical,1,3,Laboratory Technician,3,Single,3629,4,No,18,1,0,6,3,2
35,0.0,Travel_Rarely,Research & Development,16,Bachelor Degree,Life Sciences,4,3,Healthcare Representative,3,Married,7632,4,Yes,12,3,0,2,3,7
32,0.0,Travel_Rarely,Research & Development,2,Below College,Technical Degree,4,2,Laboratory Technician,1,Single,2176,4,No,13,4,0,5,3,2
38,0.0,Travel_Frequently,Research & Development,2,Master,Life Sciences,1,4,Manufacturing Director,1,Single,5980,6,Yes,12,4,0,2,3,7
39,0.0,Travel_Rarely,Research & Development,10,Below College,Medical,3,3,Manager,1,Married,17068,1,Yes,14,4,0,3,3,9
33,0.0,Travel_Rarely,Research & Development,9,Bachelor Degree,Medical,1,3,Research Scientist,4,Married,2781,0,No,13,2,1,5,3,10
59,0.0,Travel_Rarely,Sales,3,Bachelor Degree,Life Sciences,3,2,Sales Executive,4,Single,5171,5,No,17,4,0,2,3,1
36,0.0,Travel_Rarely,Sales,1,College,Life Sciences,2,3,Sales Executive,4,Married,6201,1,Yes,14,4,1,1,2,14
37,0.0,Travel_Frequently,Research & Development,11,Bachelor Degree,Other,2,3,Research Director,4,Divorced,12185,1,Yes,14,3,3,1,3,8
28,0.0,Travel_Rarely,Research & Development,8,College,Life Sciences,4,3,Research Scientist,4,Single,3310,1,No,21,4,0,3,3,3
49,0.0,Travel_Rarely,Research & Development,18,Master,Life Sciences,4,2,Research Director,3,Divorced,19502,1,Yes,17,3,1,5,3,9
34,0.0,Travel_Rarely,Research & Development,1,College,Life Sciences,2,2,Research Scientist,4,Married,3622,1,Yes,13,4,1,3,3,5
35,1.0,Travel_Rarely,Sales,4,Bachelor Degree,Technical Degree,4,3,Sales Executive,1,Single,9582,0,Yes,22,1,0,2,3,7
27,0.0,Travel_Frequently,Sales,8,Bachelor Degree,Life Sciences,4,3,Sales Executive,3,Single,8726,1,No,15,4,0,0,3,8
48,0.0,Travel_Rarely,Research & Development,4,Master,Life Sciences,3,2,Healthcare Representative,3,Single,10999,7,No,14,2,0,3,3,11
41,0.0,Travel_Rarely,Research & Development,9,Master,Life Sciences,3,3,Laboratory Technician,1,Married,2238,2,No,21,4,1,2,3,0
36,0.0,Travel_Frequently,Research & Development,3,Bachelor Degree,Technical Degree,3,3,Research Scientist,2,Married,3692,1,No,12,3,0,2,2,10
40,0.0,Non-Travel,Research & Development,9,Doctor,Life Sciences,4,2,Healthcare Representative,4,Married,4876,9,No,14,4,1,5,1,2
31,0.0,Travel_Rarely,Research & Development,8,Master,Life Sciences,3,3,Manufacturing Director,4,Single,4424,1,No,23,4,0,2,3,7
20,1.0,Travel_Rarely,Research & Development,10,Below College,Medical,4,3,Research Scientist,3,Single,1009,1,Yes,11,4,0,5,3,0
36,1.0,Travel_Rarely,Research & Development,9,Bachelor Degree,Medical,4,2,Research Scientist,3,Married,3388,0,Yes,17,1,1,0,2,0
35,0.0,Travel_Frequently,Sales,1,Bachelor Degree,Marketing,3,3,Sales Executive,3,Single,8789,1,No,14,1,0,3,4,7
24,0.0,Travel_Rarely,Research & Development,17,Below College,Medical,4,2,Manufacturing Director,3,Divorced,4377,1,No,15,2,2,6,3,2
23,0.0,Travel_Rarely,Research & Development,1,College,Life Sciences,4,3,Research Scientist,3,Married,1223,1,No,22,4,1,2,3,0
28,0.0,Travel_Rarely,Research & Development,16,College,Medical,2,4,Healthcare Representative,1,Single,5661,0,No,19,3,0,2,3,3
60,0.0,Travel_Rarely,Sales,16,Master,Marketing,1,3,Sales Executive,1,Single,5405,8,No,14,4,0,1,3,2
47,0.0,Travel_Frequently,Research & Development,16,Master,Medical,3,4,Manufacturing Director,3,Divorced,5067,1,Yes,19,3,0,3,4,10
41,0.0,Travel_Rarely,Human Resources,10,Master,Human Resources,2,2,Manager,4,Divorced,19141,3,No,15,2,3,2,2,6
24,0.0,Travel_Rarely,Research & Development,24,Bachelor Degree,Medical,4,3,Laboratory Technician,2,Single,3597,8,No,22,4,0,2,3,3
29,0.0,Travel_Rarely,Research & Development,7,Below College,Medical,1,2,Laboratory Technician,4,Divorced,2532,6,No,14,3,3,5,3,3
37,1.0,Travel_Frequently,Research & Development,10,Bachelor Degree,Medical,1,3,Manufacturing Director,3,Divorced,10048,6,No,11,2,2,5,3,0
55,0.0,Travel_Frequently,Research & Development,18,Master,Medical,3,3,Healthcare Representative,2,Married,6385,3,Yes,14,4,2,3,3,7
30,0.0,Travel_Rarely,Research & Development,1,Below College,Life Sciences,4,2,Laboratory Technician,4,Married,5126,1,Yes,12,3,2,1,2,8
26,0.0,Travel_Rarely,Sales,28,College,Marketing,1,3,Sales Executive,2,Married,6272,1,No,20,4,2,5,4,3
29,1.0,Travel_Rarely,Research & Development,8,Master,Other,2,1,Laboratory Technician,1,Married,2119,1,Yes,11,4,0,4,2,7
25,1.0,Travel_Rarely,Research & Development,3,Bachelor Degree,Medical,1,3,Laboratory Technician,1,Married,4031,5,No,13,3,1,5,3,2
37,0.0,Travel_Rarely,Research & Development,14,Bachelor Degree,Life Sciences,4,3,Laboratory Technician,1,Divorced,3034,1,No,12,3,1,2,2,7
36,0.0,Travel_Rarely,Human Resources,8,Bachelor Degree,Life Sciences,1,2,Human Resources,1,Married,2342,0,No,21,3,0,3,3,4
41,1.0,Non-Travel,Research & Development,5,College,Life Sciences,1,2,Research Scientist,1,Divorced,2107,6,No,17,1,1,2,1,0
36,0.0,Travel_Rarely,Sales,3,Master,Marketing,1,3,Sales Executive,2,Single,9278,3,Yes,16,4,0,3,3,4
38,0.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Technical Degree,4,3,Research Director,1,Married,13582,1,No,13,2,1,3,3,12
38,0.0,Travel_Rarely,Research & Development,1,Below College,Life Sciences,3,3,Research Scientist,1,Single,2619,3,No,17,4,0,3,2,0
51,0.0,Travel_Rarely,Sales,26,Master,Marketing,1,3,Manager,3,Married,16307,2,No,14,3,1,2,2,6
37,0.0,Travel_Rarely,Research & Development,6,Bachelor Degree,Medical,3,4,Research Scientist,1,Divorced,5974,4,Yes,13,1,2,2,3,7
20,1.0,Travel_Frequently,Research & Development,6,Bachelor Degree,Life Sciences,4,2,Laboratory Technician,4,Single,2926,1,Yes,18,2,0,5,3,0
45,0.0,Travel_Rarely,Research & Development,1,Master,Medical,4,3,Laboratory Technician,4,Divorced,2270,3,No,14,4,2,2,3,3
24,1.0,Travel_Rarely,Research & Development,17,College,Life Sciences,4,3,Laboratory Technician,2,Married,2210,1,No,13,1,1,3,1,0
52,0.0,Travel_Rarely,Research & Development,6,College,Technical Degree,4,3,Research Scientist,1,Divorced,5577,3,Yes,12,2,2,3,3,9
49,0.0,Travel_Rarely,Research & Development,7,Bachelor Degree,Other,2,2,Healthcare Representative,3,Single,10965,8,No,24,3,0,2,3,2
19,1.0,Travel_Rarely,Sales,22,Below College,Marketing,4,3,Sales Representative,3,Single,1675,1,Yes,19,4,0,2,2,0
24,0.0,Non-Travel,Research & Development,11,College,Other,1,4,Manufacturing Director,3,Divorced,4011,0,No,18,4,1,5,2,2
22,0.0,Travel_Rarely,Research & Development,6,Below College,Medical,1,3,Research Scientist,3,Married,2773,0,No,20,4,0,3,3,2
42,0.0,Travel_Frequently,Research & Development,8,Bachelor Degree,Life Sciences,2,3,Manager,4,Divorced,18430,1,No,13,2,1,4,2,7
33,0.0,Travel_Frequently,Research & Development,3,Master,Life Sciences,4,3,Research Scientist,3,Married,2909,1,Yes,11,3,0,3,3,7
37,0.0,Travel_Rarely,Research & Development,1,Master,Life Sciences,1,2,Manufacturing Director,3,Divorced,5993,1,No,18,3,1,2,4,5
39,0.0,Travel_Frequently,Research & Development,1,Below College,Life Sciences,2,3,Manager,3,Divorced,19197,1,Yes,14,3,1,3,3,8
36,0.0,Travel_Frequently,Sales,7,Bachelor Degree,Marketing,1,4,Sales Executive,1,Married,4639,2,No,16,4,1,2,2,7
50,0.0,Travel_Rarely,Research & Development,10,Bachelor Degree,Technical Degree,4,2,Healthcare Representative,4,Single,10496,6,No,15,4,0,2,3,3
33,0.0,Travel_Rarely,Research & Development,7,Bachelor Degree,Medical,3,3,Research Director,3,Married,11691,0,No,11,4,0,3,4,9
43,0.0,Travel_Frequently,Research & Development,9,Doctor,Medical,4,3,Laboratory Technician,3,Divorced,5679,3,Yes,13,2,1,3,3,7
30,0.0,Travel_Rarely,Research & Development,28,College,Medical,4,3,Research Scientist,4,Married,5775,1,No,13,4,2,2,3,8
36,1.0,Travel_Rarely,Sales,9,Master,Life Sciences,3,2,Sales Representative,1,Single,3407,7,No,23,2,0,4,3,3
27,0.0,Travel_Rarely,Research & Development,2,Master,Life Sciences,1,3,Manufacturing Director,4,Married,4227,0,No,18,2,1,2,3,2
42,0.0,Travel_Rarely,Research & Development,2,College,Medical,4,3,Manager,1,Married,17665,0,No,17,4,1,3,3,6
36,1.0,Travel_Rarely,Research & Development,15,Bachelor Degree,Other,1,3,Laboratory Technician,3,Divorced,4834,7,No,14,2,1,3,2,0
29,0.0,Travel_Rarely,Research & Development,7,Bachelor Degree,Life Sciences,3,3,Healthcare Representative,4,Divorced,6623,1,Yes,11,2,2,2,3,0
37,0.0,Travel_Rarely,Research & Development,3,Bachelor Degree,Other,3,3,Manufacturing Director,3,Married,9434,1,No,15,3,1,2,3,7
40,0.0,Travel_Rarely,Research & Development,2,College,Medical,1,3,Research Director,3,Divorced,19436,0,No,19,4,1,5,3,7
58,1.0,Travel_Rarely,Research & Development,2,Master,Life Sciences,4,3,Research Director,2,Single,19246,7,Yes,12,4,0,2,3,15
40,0.0,Travel_Rarely,Research & Development,14,Bachelor Degree,Medical,3,2,Research Director,3,Single,19626,1,No,14,1,0,2,4,7
30,0.0,Travel_Rarely,Sales,5,Bachelor Degree,Life Sciences,2,3,Sales Executive,4,Married,9419,2,No,12,3,1,2,3,9
33,1.0,Travel_Rarely,Sales,16,Bachelor Degree,Marketing,1,3,Sales Executive,1,Single,5324,5,No,15,3,0,3,3,2
31,0.0,Non-Travel,Research & Development,1,Master,Medical,3,1,Manufacturing Director,3,Married,4345,0,No,12,4,1,2,3,4
30,0.0,Non-Travel,Research & Development,9,College,Medical,3,3,Manufacturing Director,3,Single,4695,7,Yes,18,3,0,3,3,4
59,0.0,Travel_Rarely,Research & Development,3,Bachelor Degree,Medical,3,4,Laboratory Technician,1,Married,2670,4,Yes,20,1,3,3,2,0
49,1.0,Travel_Frequently,Research & Development,28,College,Life Sciences,1,2,Laboratory Technician,1,Single,4284,3,No,20,1,0,2,3,3
